;Marca;Preco;Preco Boleto
94;Placa de Video Zotac GeForce RTX 3050 Twin Edge OC, 8GB, GDDR6, 128-bit, ZT-A30500H-10M;0;0
95;Placa de Video Zotac GeForce GTX 1630, 4GB, GDDR6, 64-bit, ZT-T16300F-10L;0;0
96;Placa de Video Galax Geforce RTX 4080 SG 1-Click OC, 16GB, GDDR6X, 256-bit, 48NZM6MD6LSG;0;0
97;Placa de Video Zotac GeForce RTX 4080 Gaming Trinity, 16GB, GDDR6X, 256-bits, ZT-D40810D-10P;0;0
98;Placa de Video Zotac GeForce RTX 4080 Gaming Trinity OC, 16GB, GDDR6X, 256-bits, ZT-D40810J-10P;0;0
99;Placa de Video Asus GeForce RTX 4080 ROG Strix Gaming OC Edition, 16GB, GDDR6X, 256-bits, ROG-STRIX-RTX4080-O16G-GAMING;0;0
100;Placa de Video Asus GeForce RTX 4080 TUF Gaming OC Edition, 16GB, GDDR6X, 256-bits, TUF-RTX4080-O16G-GAMING;0;0
101;Placa de Video MSI GeForce RTX 4080 Gaming X Trio, 16GB, GDDR6X, 256-bits, 912-V511-005;0;0
102;Placa de Video Gigabyte Radeon RX 6900 XT Gaming OC 16GB GDDR6 2‎56-bit, GV-R69XTGAMING OC-16GD-NAC;0;0
103;Placa de Video Galax GeForce RTX 3050 1-Click OC, 8GB, GDDR6, 128-bit, 35NSL8MD6ZOC-NAC;0;0
104;Placa de Video ASRock Intel ARC A770 Phantom Gaming D OC, 8GB, GDDR6, 256-bit, A770 PGD 8GO;0;0
105;Placa de Video Galax GeForce GTX 1630 EX 1-Click OC, 4GB, GDDR6, 64-Bit, 63NQL4HP66EX;0;0
106;Placa de Video Galax Geforce RTX 4090 SG 1-Click OC, 24GB, GDDR6X, 384-bit, 49NXM5MD6DSG;0;0
107;Placa de Video Asus GeForce RTX 4090 TUF Gaming OC, 24GB, GDDR6X, 384-bit, TUF-RTX4090-O24G-GAMING;0;0
108;Placa de Video Asus GeForce RTX 4090 ROG Strix OC, 24GB, GDDR6X, 384-bit, ROG-STRIX-RTX4090-O24G-GAMING;0;0
109;Placa de Video MSI GeForce RTX 4090 Gaming Trio, 24GB, GDDR6X, 384-bits, 912-V510-014;0;0
110;Placa de Video MSI GeForce RTX 4090 Suprim Liquid, 24GB, GDDR6X, 384-bits, 912-V510-007;0;0
111;Placa De Video Duex Geforce GT 610, 1GB, DDR3, 64Bit, DX GT610LP-1GD3;0;0
112;Placa de Video PNY Geforce RTX 3060, 12GB, GDDR6, 192-Bit, VCG306012DFBPB1;0;0
