index	marca	preco
110	Cadeira Gamer Noblechairs Hero, Black Blue - NBL-HRO-PU-BBL	R$ 3.199,99
111	Cadeira Gamer Noblechairs HERO Elden Ring Edição Limitada, até 150Kg, com Almofadas, Preto - PGW-NB-HGC-017	R$ 3.599,99
112	Cadeira Gamer Husky Gaming Snow Limited Edition, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA054	R$ 649,99
113	Cadeira Gamer Mymax Mx1, Giratória, Preto E Vermelho - mgch-8131/rd	R$ 560,15
114	Cadeira Gamer, MoobX, Fire Profissional Deluxe	R$ 599,90
115	Cadeira Gamer Fox Racer, 130Kg, Cinza, Com RGB E Iluminação LED	R$ 1.099,90
116	Cadeira Gamer X Fusion, Suporta até 120Kg, Rosa - C.123	R$ 733,95
117	Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010043-WW	R$ 2.299,99
118	Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010049-WW	R$ 2.499,99
119	Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto - mgch-mx0/bk	R$ 508,30
120	Cadeira Gamer Fortrek Black Hawk Black - 70508	R$ 999,99
121	Cadeira Gamer Noblechairs EPIC, Black - NBL-PU-BLA-002	R$ 2.849,99
122	Cadeira Gamer Husky Gaming Polar, Preto, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HPO-BK	R$ 699,99
123	Cadeira Gamer Husky Gaming Frost, Preto e Vermelho, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HFR-BR	R$ 689,99
124	Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086	R$ 1.369,99
125	Cadeira Gamer Alpha Gamer Polaris Edition, Até 150Kg, Descanso de Braço 4D,  Preto e Branco - AGPOLARISRE-BK-BL	R$ 1.399,99
126	Cadeira Gamer Fortrek Black Hawk Black/Red - 70510	R$ 869,99
127	Cadeira Gamer Alpha Gamer Cygnus RGB - AGCYGNUS	R$ 1.269,99
128	Cadeira Gamer DT3sports Royce Space Grey - 11913-5	R$ 2.799,99
129	Cadeira Gamer Fortrek Black Hawk, Black/Pink - 70513	R$ 1.029,99
130	Cadeira Gamer Husky Gaming Avalanche 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA061	R$ 1.549,99
131	Cadeira Gamer Corsair TC60 Fabric, Até 120Kg,  Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Branco - CF-9010037-WW	R$ 1.299,99
132	Cadeira Gamer Corsair TC70 Remix, Até 120Kg, Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Cinza - CF-9010038-WW	R$ 1.299,99
133	Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB	R$ 949,99
134	Cadeira Gamer Husky Gaming Blizzard, Preto e Verde, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BG	R$ 899,99
135	Cadeira Gamer Alpha Gamer Polaris Racing Edition,  Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto - 5600413202906	R$ 1.529,99
136	Cadeira Gamer Alpha Gamer Polaris Racing Edition,  Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Verde - AGPOLARISRE-BK-GRN	R$ 1.329,99
137	Cadeira Gamer, Prizi, Runner - Amarela	R$ 465,41
138	Cadeira Gamer Prizi PZ1006E, Até 120 Kg, Couro sintético de PU, Ângulo ajustável, Descanso de pé, Amarela	R$ 753,26
139	Cadeira Gamer Prizi, Peso Suportado até  120Kg, Almofadas de Pescoço e Lombar, Azul - Pz1005	R$ 807,41
140	Cadeira Gamer Mymax Mx8, Giratória, 150Kg, Preto E Vermelho	R$ 764,15
141	Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax	R$ 764,15
142	Cadeira Gamer Mymax MX8, Até 150Kg, Giratória, Preto e Azul	R$ 764,15
143	Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Azul - mgch-8131/bl	R$ 560,15
144	Cadeira Gamer Pelegrin, Até 150 Kg, Em Couro Pu, Preta E Vermelha - PEL-3007	R$ 474,05
145	Cadeira Gamer XT Racer Viking, Reclinável, Ergonômica, Couro Sintético, Preto e Branco	R$ 1.199,00
146	Cadeira Gamer Husky Gaming Blizzard 970, com Almofadas, Acabamento Alcantara, Reclinável com Sistema Frog, Creme e Vermelho  - HGMA134	R$ 2.099,99
147	Cadeira Gamer Fortrek Black Hawk, Peso Suportado até 140Kg, Altura Ajustável, Preto e Vermelho	R$ 1.045,02
148	Cadeira Gamer Prizi JX-1039B, até 120 kg, com Almofadas na lombar e pescoço, Azul	R$ 862,51
149	Cadeira Gamer Krait Snake, Reclinavel B88 - Preta	R$ 699,00
150	Cadeira Gamer Prizi Infinity, Peso suportado pelo produto: 150Kg, Verde	R$ 594,61
151	Cadeira Gamer Dragon War, Preto/Azul - Gc-005	R$ 599,90
152	Cadeira Gamer PCTop Starlight, Peso Suportado até 120Kg, RGB, Assento Giratório, Preta - R1005	R$ 899,00
153	Cadeira Gamer PCYES Mad Racer V12, Peso Suportado até 180Kg, Suede Impermeabilizado, Preto - Madv12ptsdg	R$ 2.299,90
154	Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Laranja - XTS120	R$ 959,99
155	Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Rosa - XTR-033	R$ 1.199,99
156	Cadeira Gamer ThunderX3 EC3, Até 120 kg, Com Almofadas, Reclinável, Preto e Branco - 78237	R$ 1.199,99
157	Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Cinza - 13439-0	R$ 1.439,99
158	Cadeira Gamer Alpha Gamer Nebula Fabric, Tecido, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza e Rosa - AGNEBULA-GRY-PK	R$ 1.649,99
159	Cadeira Gamer TC3 ThunderX3, Encosto Reclinável, Braço 2D, 125Kg, Preto/Amarelo - 72996	R$ 1.199,99
